sequence_id,frame_position,attention_type,target_frame,attention_weight_self,attention_weight_prev1,attention_weight_prev2,attention_weight_prev3,attention_weight_prev4,attention_weight_visual,attention_weight_text,temporal_consistency,cross_modal_alignment
0,1,self,6,0.45,0.23,0.12,0.08,0.05,0.04,0.03,0.78,0.65
0,1,temporal,6,0.12,0.45,0.23,0.12,0.08,0.05,0.05,0.82,0.68
0,1,cross_modal,6,0.08,0.12,0.10,0.15,0.10,0.25,0.20,0.75,0.72
0,2,self,6,0.38,0.25,0.15,0.10,0.07,0.03,0.02,0.81,0.67
0,2,temporal,6,0.10,0.38,0.25,0.15,0.08,0.02,0.02,0.85,0.70
0,2,cross_modal,6,0.06,0.10,0.08,0.12,0.08,0.33,0.23,0.78,0.75
0,3,self,6,0.32,0.28,0.18,0.12,0.07,0.02,0.01,0.84,0.69
0,3,temporal,6,0.08,0.32,0.28,0.18,0.10,0.02,0.02,0.88,0.72
0,3,cross_modal,6,0.05,0.08,0.07,0.10,0.07,0.38,0.25,0.81,0.78
0,4,self,6,0.28,0.30,0.20,0.13,0.06,0.02,0.01,0.87,0.71
0,4,temporal,6,0.07,0.28,0.30,0.20,0.12,0.01,0.02,0.91,0.74
0,4,cross_modal,6,0.04,0.07,0.06,0.08,0.06,0.42,0.27,0.84,0.81
0,5,self,6,0.25,0.32,0.22,0.14,0.05,0.01,0.01,0.90,0.73
0,5,temporal,6,0.06,0.25,0.32,0.22,0.13,0.01,0.01,0.94,0.76
0,5,cross_modal,6,0.03,0.06,0.05,0.07,0.05,0.45,0.29,0.87,0.84