error_type,subtype,baseline_count,baseline_percentage,improved_count,improved_percentage,reduction_percentage,examples
repetition,exact_word,123,12.3%,45,4.5%,63.41%,"'the the', 'cat cat', 'walk walk'"
repetition,phrase,89,8.9%,32,3.2%,64.04%,"'in the park in the park', 'very very happy'"
repetition,structure,67,6.7%,21,2.1%,68.66%,"repeated sentence structures"
semantic,inconsistency,145,14.5%,78,7.8%,46.21%,"'sun is setting' followed by 'bright morning light'"
semantic,contradiction,89,8.9%,45,4.5%,49.44%,"'empty room' but 'many people talking'"
semantic,vague,234,23.4%,156,15.6%,33.33%,"'something', 'thing', 'stuff'"
grammar,agreement,67,6.7%,34,3.4%,49.25%,"'they is', 'the dogs runs'"
grammar,tense,45,4.5%,23,2.3%,48.89%,"tense switching mid-sentence"
coherence,temporal,112,11.2%,56,5.6%,50.00%,"events out of order"
coherence,causal,78,7.8%,34,3.4%,56.41%,"effect before cause"
image,blurry,156,15.6%,89,8.9%,42.95%,"blurry generated images"
image,artifacts,89,8.9%,45,4.5%,49.44%,"visual artifacts in corners"
image,color,67,6.7%,32,3.2%,52.24%,"unnatural colors"
alignment,text_image,123,12.3%,67,6.7%,45.53%,"text describes something not in image"
alignment,timing,89,8.9%,45,4.5%,49.44%,"text mentions future/past events"
total_errors,all,1523,152.3%,802,80.2%,47.34%,""